year,sentence
2013,TimesCast Media+Tech: Esquire prepares to introduce a new television network. | Beauty bloggers storm fashion week. | The wristwatch of the future. Esquire Magazine Takes On Television
2003,"STALLONE--Nicholas. Longtime resident of Greenwich Village, NYC, passed away peacefully and with dignity on July 7th, age 74, at Calvary Hospital. Actor in theatre and film, model and # Paid Notice: Deaths   STALLONE, NICHOLAS"
1989,"LEAD: Two investment firms have acquired a combined 8.2 percent stake in Healthco International Inc., a Boston-based dental supply concern. In a Securities and Exchange Commission filing, the firms, led by the same chairman, Gerald B. Cramer, said the stake was purchased for investment purposes. Marvin M. Healthco Holding Disclosed in Filing"
2010,"Lyudmila M. Alexeyeva, 82, provokes reverence, exasperation and the question of how a human rights movement will reshape itself when she is gone. Russian Dissident’s Passion Endures Despite Tests"
1970,"More than 3,000 behind-the-scenes Hollywood film personnel attend Hollywood Film Council 'action rally' to demand that film indus return to Hollywood from abroad; spiraling costs in Hollywood and generous govt subsidies abroad have sent Amer producers overseas and caused unemployment rate of almost 40% among 34,000 members of 28 local unions affiliated with council; Gov Reagan and Sen-elect J V Tunney endorse 20% tax incentive for Amer-made films and say tariffs on foreign-made imports might be necessary; Repr Dent says he will hold hearings on problem of 'run-away films'; council pres J Lehners s; other details on rally FILMING ABROAD SCORED BY UNIONS"
1967,"de Sherbinin, Wm N WILLIAM DE SHERBININ"
2006,"YouTube, the darling of the Web 2.0. resurgence, fetched $1.65 billion. Dot-Com Boom Echoed in Deal to Buy YouTube"
1965,Fed study clears Action for Boston Community Development mgt of Neighborhood Youth Corps; officials agree to tighten adm of funds YOUTH CORPS STUDY CLEARS BOSTON UNIT
2015,The private equity giant has formed a long-term strategic partnership with the fund and can increase its ownership stake up to 39.9 percent. K.K.R. Takes 24.9% Stake in Hedge Fund Marshall Wace
1966, Singer Reported Suicide
2003,"KcKenzie Lowry, mount maker in antiquities department of J Paul Getty Museum in Los Angeles, attaches precious objects to their pedestals or cases, sometimes using seismic isolators that can protect fragile pieces in event of earthquake; photo (M) Mount Maker: Ready for an Earthquake"
1971,"OAKLAND, Calif., June 12&#8212;Approximately 300 color fully and bizarrely dressed Shriners paraded around Oakland Coliseum today and helped create a festive mood for the game between the Athletics and the Yankees. As far as the Yankees were concerned, though, the afternoon had all the fun of a anging. It's not that the visitors from New York, didn't appreciate the Shriners in their costumes of red and green, blue and gold, green and yellow and orange and black. Or even the funnier looking ones in capes and desert headdresses and point ed, curled&#8208;toed gold shoes. A'S BLUE STOPS YANKS, 134;"
2004,"Urban warfare nullifies technological advantages of American military as determined fighters advance into rebel-held Falluja; insurgents fire off brilliant flares, blinding soldiers' sensitive night-vision equipment, and slip from house to house in hopes of confusing artillery spotters; urban battlefield becomes cacophony of strange and deadly sounds as heavy explosives clear way for US troops to advance, and they work their way toward objective, first buildings of city (M) Urban Warfare Deals Harsh Challenge to Troops"
2018,Don’t worry — crystals can help. We try out New Age-flavored healing in the fanciest of locations.  A New Treatment Wants You to Close Your Eyes. What Do You See? 
1990,"  Markets    Oil prices rose sharply, spooked by tough talk from Margaret Thatcher. Traders also cited a variety of colorful rumors and speculation about war. Crude closed at $35.31, up $2.68, its biggest gain in two weeks.  [ Page D1. ]   And stocks, again taking a cue from oil, fell steeply, with the Dow off 44.31, to 2,440.84.  [ D12. ]   Treasury securities prices fell and interest rates rose over talk of war in the Middle East by world leaders and worrisome comments by a Fed governor. But the Treasury's auction of new 10-year notes was well received.  [ D10. ]   The dollar ended moderately lower against most currencies in volatile trading.  [ D18. ]   Soybean futures rebounded from eight-month lows amid speculation that the Soviet Union was in the market.  [ D18. ] Companies    Citicorp, embarrassed by the high dividends it has been required to pay on preferred stock in recent weeks, announced plans to redeem some of the stock.  [ D1. ]   A new wave of dismissals is spreading through Wall Street, with cutbacks reported at First Boston and Bear, Stearns.  [ D1. ]   Smith Corona filed an ""anti-dumping"" petition, claiming that producers from Singapore and Japan were selling personal word processors at unfairly low prices in the U.S.  [ D2. ]   Texas Instruments said it was delivering limited supplies of its model of the world's most advanced memory chip.  [ D2. ]   FNN and U.P.I. were put up for sale by the newly appointed co-chief executives of Infotechnology.  [ D19. ]   Robert Maxwell said he would begin publishing a daily in the U.S. next year devoted to thoroughbred horse racing.  [ D19. ]   The New York State Attorney General told Donald J. Trump that he may not close on any sales contracts at his new East Side condominium building until he proves that he has enough money to pay taxes and other charges on the building.  [ B18. ]   A raging fire at Universal Studios destroyed four acres of sets and decades of movie history.  [ A26. ]   Siemens and GPT said they planned to merge their American units for call-switching and transmission equipment.  [ D5. ] International    The Administration is divided over a long-pending application by Taiwan to join GATT.  [ D1. ]   A statute that enables the President to block foreign acquisitions that threaten national security is still in effect, the Treasury Department announced, even though Congress allowed the law to lapse in its rush to adjourn.  [ D2. ] The Economy    A former Harvard Business School professor who has the ear of Treasury Secretary Brady may well become the Administration's strongest voice in reshaping the nation's banking system.  [ D1. ]   Guidelines aimed at limiting the environmental claims manufacturers make for products will be proposed by attorneys general from 10 states.  [ D5. ] Today's Columns    When Communications Satellite bought a majority stake in the Denver Nuggets basketball team, a lot of people wondered why. Now the answer seems clear. Talking Deals.  [ D2. ]   The risk-averse buyers of money market funds are turning increasingly to the safest of such funds, giving up slightly higher yields. Floyd Norris: Market Place.  [ D12. ]   Unhappy with the ads that Wells Rich Greene created for Benson & Hedges, Philip Morris has reportedly reassigned the majority of the account to Leo Burnett. Kim Foltz: Advertising.  [ D19. ] BUSINESS DIGEST"
1964,Planning Comm approves use of 188 acres at Breezy Pt for pk; sec now owned by Atlantic Improvement Corp; comm urges city press efforts to acquire 312 acres in Ft Tilden 188 ACRES ADDED AT BREEZY POINT; Planning Agency Approves Use of Corporation Land for Recreation Area; SPEED ON PARK URGED; City Asked to Press Efforts to Acquire Fort Tilden and Other Parcels
1999,Florence Fabricant reviews Ina Garten's Barefoot Contessa cookbook; recipe (M) Shoeless in the Kitchen
1963,Romney int on role as dark horse and attitude toward Rockefeller and Goldwater DARK HORSE ROLE PLEASES ROMNEY; Michigan Governor Aims at 1964 G.O.P. Convention
2006,"GOODWIN--Maurice R., Dr. Died June 13, 2006. Beloved husband of Mary for 72 years, remembered dearly by 2 children, 4 grandchildren, 5 great grandchildren. His life as a physician, surgeon & teacher helped countless others. He will be greatly missed. Paid Notice: Deaths   GOODWIN, MAURICE R., DR."
